Element         Atomic Number          Radius(pm)                         ESD(pm)
Dalton Trans., 2008, 2832–2838
H                  1                     31                                 5
He                  2                     28                                 0
Li                  3                     128                                7
Be                  4                     96                                 3
B                  5                     84                                 3
C                  6                     76                                 1
N                  7                     71                                 1
O                  8                     66                                 2
F                  9                     57                                 3
Ne                  10                    58                                 0
Na                  11                    166                                9
Mg                  12                    141                                7
Al                  13                    121                                4
Si                  14                    111                                2
P                  15                    107                                3
S                  16                    105                                3
Cl                  17                    102                                4
Ar                  18                    106                                10
K                  19                    203                                12
Ca                  20                    176                                10
Sc                  21                    170                                7
Ti                  22                    160                                8
V                  23                    153                                8
Cr                  24                    139                                5
Mn                  25                    161                                8
Fe                  26                    152                                6
Co                  27                    150                                7
Ni                  28                    124                                4
Cu                  29                    132                                4
Zn                  30                    122                                4
Ga                  31                    122                                3
Ge                  32                    120                                4
As                  33                    119                                4
Se                  34                    120                                4
Br                  35                    120                                3
Kr                  36                    116                                4
Rb                  37                    220                                9
Sr                  38                    195                                10
Y                  39                    190                                7
Zr                  40                    175                                7
Nb                  41                    164                                5
Mo                  42                    154                                7
Tc                  43                    147                                7
Ru                  44                    146                                7
Rh                  45                    142                                7
Pd                  46                    139                                6
Ag                  47                    145                                5
Cd                  48                    144                                9
In                  49                    142                                5
Sn                  50                    139                                4
Sb                  51                    139                                5
Te                  52                    138                                4
I                  53                    139                                3
Xe                  54                    140                                9
Cs                  55                    244                                11
Ba                  56                    215                                11
La                  57                    207                                8
Ce                  58                    204                                9
Pr                  59                    203                                7
Nd                  60                    201                                6
Pm                  61                    199                                0
Sm                  62                    198                                8
Eu                  63                    198                                6
Gd                  64                    196                                6
Tb                  65                    194                                5
Dy                  66                    192                                7
Ho                  67                    192                                7
Er                  68                    189                                6
Tm                  69                    190                                10
Yb                  70                    187                                8
Lu                  71                    175                                10
Hf                  72                    187                                8
Ta                  73                    170                                8
W                  74                    162                                7
Re                  75                    151                                7
Os                  76                    144                                4
Ir                  77                    141                                6
Pt                  78                    136                                5
Au                  79                    136                                6
Hg                  80                    132                                5
Tl                  81                    145                                7
Pb                  82                    146                                5
Bi                  83                    148                                4
Po                  84                    140                                4
At                  85                    150                                0
Rn                  86                    150                                0
Fr                  87                    260                                0
Ra                  88                    221                                2
Ac                  89                    215                                0
Th                  90                    206                                6
Pa                  91                    200                                0
U                  92                    196                                7
Np                  93                    190                                1
Pu                  94                    187                                1
Am                  95                    180                                6
Cm                  96                    169                                3

