MD step 0: esapsed time: 8.58, average time: 8.58
MD step 10: esapsed time: 77.44, average time: 7.04
MD step 20: esapsed time: 141.80, average time: 6.75
MD step 30: esapsed time: 197.78, average time: 6.38
MD step 40: esapsed time: 255.80, average time: 6.24
MD step 50: esapsed time: 314.04, average time: 6.16
MD step 60: esapsed time: 376.98, average time: 6.18
MD step 70: esapsed time: 435.14, average time: 6.13
MD step 80: esapsed time: 496.82, average time: 6.13
MD step 90: esapsed time: 563.06, average time: 6.19
MD step 100: esapsed time: 625.95, average time: 6.20
MD step 110: esapsed time: 687.81, average time: 6.20
MD step 120: esapsed time: 743.60, average time: 6.15
MD step 130: esapsed time: 806.64, average time: 6.16
MD step 140: esapsed time: 869.22, average time: 6.16
MD step 150: esapsed time: 930.85, average time: 6.16
MD step 160: esapsed time: 984.60, average time: 6.12
MD step 170: esapsed time: 1045.37, average time: 6.11
MD step 180: esapsed time: 1105.66, average time: 6.11
MD step 190: esapsed time: 1166.62, average time: 6.11
MD step 200: esapsed time: 1220.89, average time: 6.07
MD step 210: esapsed time: 1284.26, average time: 6.09
MD step 220: esapsed time: 1350.43, average time: 6.11
MD step 230: esapsed time: 1411.94, average time: 6.11
MD step 240: esapsed time: 1473.22, average time: 6.11
MD step 250: esapsed time: 1531.57, average time: 6.10
MD step 260: esapsed time: 1593.21, average time: 6.10
MD step 270: esapsed time: 1654.50, average time: 6.11
MD step 280: esapsed time: 1720.26, average time: 6.12
MD step 290: esapsed time: 1790.96, average time: 6.15
MD step 300: esapsed time: 1852.04, average time: 6.15
MD step 310: esapsed time: 1910.73, average time: 6.14
MD step 320: esapsed time: 1973.73, average time: 6.15
MD step 330: esapsed time: 2038.04, average time: 6.16
MD step 340: esapsed time: 2106.87, average time: 6.18
MD step 350: esapsed time: 2161.10, average time: 6.16
MD step 360: esapsed time: 2225.01, average time: 6.16
MD step 370: esapsed time: 2287.57, average time: 6.17
MD step 380: esapsed time: 2346.50, average time: 6.16
MD step 390: esapsed time: 2407.47, average time: 6.16
MD step 400: esapsed time: 2464.73, average time: 6.15
MD step 410: esapsed time: 2524.94, average time: 6.14
MD step 420: esapsed time: 2584.75, average time: 6.14
MD step 430: esapsed time: 2641.76, average time: 6.13
MD step 440: esapsed time: 2700.03, average time: 6.12
MD step 450: esapsed time: 2753.44, average time: 6.11
MD step 460: esapsed time: 2811.27, average time: 6.10
MD step 470: esapsed time: 2867.05, average time: 6.09
MD step 480: esapsed time: 2922.97, average time: 6.08
MD step 490: esapsed time: 2982.62, average time: 6.07
MD step 500: esapsed time: 3037.64, average time: 6.06
MD step 510: esapsed time: 3100.04, average time: 6.07
