MD step 0: esapsed time: 13.31, average time: 13.31
MD step 10: esapsed time: 129.71, average time: 11.79
MD step 20: esapsed time: 260.02, average time: 12.38
MD step 30: esapsed time: 418.81, average time: 13.51
MD step 40: esapsed time: 551.86, average time: 13.46
MD step 50: esapsed time: 709.12, average time: 13.90
MD step 60: esapsed time: 855.68, average time: 14.03
MD step 70: esapsed time: 993.31, average time: 13.99
MD step 80: esapsed time: 1125.28, average time: 13.89
MD step 90: esapsed time: 1260.41, average time: 13.85
MD step 100: esapsed time: 1390.76, average time: 13.77
MD step 110: esapsed time: 1521.99, average time: 13.71
MD step 120: esapsed time: 1666.70, average time: 13.77
MD step 130: esapsed time: 1815.79, average time: 13.86
MD step 140: esapsed time: 1950.97, average time: 13.84
MD step 150: esapsed time: 2086.72, average time: 13.82
MD step 160: esapsed time: 2249.81, average time: 13.97
MD step 170: esapsed time: 2383.64, average time: 13.94
MD step 180: esapsed time: 2524.36, average time: 13.95
MD step 190: esapsed time: 2683.15, average time: 14.05
MD step 200: esapsed time: 2851.30, average time: 14.19
MD step 210: esapsed time: 3011.42, average time: 14.27
MD step 220: esapsed time: 3142.55, average time: 14.22
MD step 230: esapsed time: 3297.16, average time: 14.27
MD step 240: esapsed time: 3454.51, average time: 14.33
MD step 250: esapsed time: 3603.74, average time: 14.36
MD step 260: esapsed time: 3759.24, average time: 14.40
MD step 270: esapsed time: 3927.67, average time: 14.49
MD step 280: esapsed time: 4065.43, average time: 14.47
MD step 290: esapsed time: 4218.45, average time: 14.50
MD step 300: esapsed time: 4386.09, average time: 14.57
MD step 310: esapsed time: 4521.99, average time: 14.54
MD step 320: esapsed time: 4671.41, average time: 14.55
MD step 330: esapsed time: 4817.06, average time: 14.55
MD step 340: esapsed time: 4967.04, average time: 14.57
MD step 350: esapsed time: 5103.67, average time: 14.54
MD step 360: esapsed time: 5244.04, average time: 14.53
MD step 370: esapsed time: 5392.99, average time: 14.54
MD step 380: esapsed time: 5534.66, average time: 14.53
MD step 390: esapsed time: 5699.28, average time: 14.58
MD step 400: esapsed time: 5866.53, average time: 14.63
MD step 410: esapsed time: 6010.74, average time: 14.62
MD step 420: esapsed time: 6152.15, average time: 14.61
MD step 430: esapsed time: 6291.60, average time: 14.60
MD step 440: esapsed time: 6439.33, average time: 14.60
MD step 450: esapsed time: 6594.47, average time: 14.62
MD step 460: esapsed time: 6731.35, average time: 14.60
MD step 470: esapsed time: 6891.45, average time: 14.63
MD step 480: esapsed time: 7035.78, average time: 14.63
MD step 490: esapsed time: 7194.34, average time: 14.65
MD step 500: esapsed time: 7326.54, average time: 14.62
MD step 510: esapsed time: 7458.36, average time: 14.60
MD step 520: esapsed time: 7592.96, average time: 14.57
MD step 530: esapsed time: 7725.70, average time: 14.55
MD step 540: esapsed time: 7860.61, average time: 14.53
MD step 550: esapsed time: 7989.02, average time: 14.50
MD step 560: esapsed time: 8125.32, average time: 14.48
MD step 570: esapsed time: 8260.91, average time: 14.47
MD step 580: esapsed time: 8398.08, average time: 14.45
MD step 590: esapsed time: 8541.23, average time: 14.45
MD step 600: esapsed time: 8688.92, average time: 14.46
MD step 610: esapsed time: 8815.93, average time: 14.43
MD step 620: esapsed time: 8955.63, average time: 14.42
MD step 630: esapsed time: 9099.53, average time: 14.42
MD step 640: esapsed time: 9245.96, average time: 14.42
MD step 650: esapsed time: 9383.87, average time: 14.41
MD step 660: esapsed time: 9549.51, average time: 14.45
MD step 670: esapsed time: 9686.92, average time: 14.44
MD step 680: esapsed time: 9814.05, average time: 14.41
MD step 690: esapsed time: 9953.11, average time: 14.40
MD step 700: esapsed time: 10082.35, average time: 14.38
MD step 710: esapsed time: 10231.56, average time: 14.39
MD step 720: esapsed time: 10389.58, average time: 14.41
MD step 730: esapsed time: 10521.60, average time: 14.39
MD step 740: esapsed time: 10659.49, average time: 14.39
